frame_n,nano_sec,sec,size,compression rate,
469,33325200,0,70825021,0.112274,0.00333252
470,32006200,0,71720003,0.113451,0.00320062
471,31710100,0,72614985,0.114624,0.00317101
472,33679100,0,73509967,0.115791,0.00336791
473,34287300,0,74404949,0.116954,0.00342873
474,35251700,0,75299931,0.118111,0.00352517
475,35216000,0,75299931,0.117863,0.0035216
476,31727300,0,75299931,0.117616,0.00317273
477,25591200,0,75299931,0.11737,0.00255912
478,30905000,0,75299931,0.117125,0.0030905
479,29393800,0,75299931,0.116881,0.00293938
480,32410100,0,75299931,0.116638,0.00324101
481,31096800,0,75299931,0.116396,0.00310968
482,34030300,0,50640426,0.0781161,0.00340303
483,35331900,0,51549744,0.0793544,0.00353319
484,38123300,0,52459062,0.0805877,0.00381233
485,35395900,0,53382716,0.0818379,0.00353959
486,29957700,0,54306427,0.083083,0.00299577
487,34347500,0,55230081,0.084323,0.00343475
488,38118500,0,56153735,0.0855579,0.00381185
489,42304100,0,57077389,0.0867877,0.00423041
490,26950500,0,58013331,0.0880312,0.00269505
491,27058700,0,58949273,0.0892696,0.00270587
492,31109900,0,59885215,0.090503,0.00311099
493,29787800,0,60840613,0.0917607,0.00297878
494,33221700,0,61796011,0.0930134,0.00332217
495,33550200,0,62762673,0.0942779,0.00335502
496,29227500,0,63729392,0.0955374,0.00292275
497,27589900,0,64696054,0.0967918,0.00275899
498,28004400,0,65678076,0.0980641,0.00280044
499,28848400,0,66660098,0.0993313,0.00288484
500,33149000,0,67642120,0.100593,0.0033149
501,37412400,0,68624142,0.101851,0.00374124
502,31019900,0,69606164,0.103103,0.00310199
503,32259900,0,70588186,0.10435,0.00322599
504,32811000,0,71570208,0.105592,0.0032811
505,33616800,0,72552230,0.106829,0.00336168
506,42813100,0,73534252,0.108062,0.00428131
507,34621400,0,73534252,0.107849,0.00346214
508,27026800,0,73534252,0.107637,0.00270268
509,26306300,0,73534252,0.107426,0.00263063
510,29517300,0,73534252,0.107216,0.00295173
511,26687300,0,73534252,0.107006,0.00266873
512,26621000,0,73534252,0.106798,0.0026621
513,28138300,0,73534252,0.10659,0.00281383
514,27216000,0,73534252,0.106383,0.0027216
