frame_n,nano_sec,sec,size,compression rate,n_change,
411,66275900,0,2453686252,4.43723,200,10602758
412,82605500,0,2464313074,4.44566,200,10626822
413,60858700,0,2474963050,4.45408,200,10649976
414,54788300,0,2485637232,4.46252,200,10674182
415,57762000,0,2496334710,4.47095,200,10697478
416,61453800,0,2507056053,4.47938,200,10721343
417,65270600,0,2517799099,4.48781,200,10743046
418,69282300,0,2528565185,4.49625,200,10766086
419,67096500,0,2539355136,4.50468,200,10789951
420,73944700,0,2550169094,4.51312,200,10813958
421,78807600,0,2561006348,4.52156,200,10837254
422,79629300,0,2571867524,4.53,200,10861176
423,82812000,0,2582752906,4.53845,200,10885382
424,85120100,0,2593660304,4.54689,200,10907398
425,70163800,0,2604590799,4.55533,200,10930495
426,68460800,0,2615544533,4.56378,200,10953734
427,63245200,0,2626523099,4.57222,200,10978566
428,56522200,0,2637526042,4.58068,200,11002943
429,55616600,0,2648552480,4.58913,200,11026438
430,61520500,0,2659601702,4.59758,200,11049222
431,67526200,0,2670674672,4.60604,200,11072970
432,53052900,0,2681770998,4.61449,200,11096326
433,54353900,0,2692891388,4.62295,200,11120390
434,56778600,0,2704034875,4.63141,200,11143487
435,55985400,0,2715201345,4.63987,200,11166470
436,56605800,0,2726391623,4.64833,200,11190278
437,71315900,0,2737606022,4.65679,200,11214399
438,64429300,0,2748844428,4.66526,200,11238406
439,91259800,0,2760106642,4.67373,200,11262214
440,74991500,0,2771392778,4.6822,200,11286136
441,62213700,0,2782702608,4.69067,200,11309830
442,62735400,0,2794035734,4.69914,200,11333126
443,64202400,0,2805391957,4.70761,200,11356223
444,65762800,0,2816772443,4.71609,200,11380486
445,63423200,0,2828176481,4.72456,200,11404038
446,66312200,0,2839603872,4.73304,200,11427391
447,64419100,0,2851054502,4.74152,200,11450630
448,66879500,0,2862529452,4.75,200,11474950
449,63261600,0,2874026532,4.75848,200,11497080
450,60418200,0,2885546282,4.76696,200,11519750
451,64573500,0,2897090352,4.77544,200,11544070
452,73350200,0,2908658031,4.78393,200,11567679
453,77298900,0,2920248437,4.79241,200,11590406
454,77588200,0,2931862395,4.8009,200,11613958
455,79376100,0,2943499706,4.80938,200,11637311
456,61202700,0,2955159488,4.81787,200,11659782
